Property,Coverage %,Total Categories,Covered Categories,Missing Category
"Friedhofstrasse 47 8048",100.0,15,15,Full Coverage
"Friedhofstrasse 49 8048",0.0,15,0,"Allrounder/Hauswart"
"Friedhofstrasse 49 8048",0.0,15,0,"Sanitärleistungen"
"Friedhofstrasse 49 8048",0.0,15,0,"Haushaltsgerätetechniker"
"Friedhofstrasse 49 8048",0.0,15,0,"Bodenleger"
"Friedhofstrasse 49 8048",0.0,15,0,"Schlosser"
"Friedhofstrasse 49 8048",0.0,15,0,"Fensterspezialisten"
"Friedhofstrasse 49 8048",0.0,15,0,"Rolladenspezialisten"
"Friedhofstrasse 49 8048",0.0,15,0,"Elektriker"
"Friedhofstrasse 49 8048",0.0,15,0,"Maler"
"Friedhofstrasse 49 8048",0.0,15,0,"Ungeziefer"
"Friedhofstrasse 49 8048",0.0,15,0,"Aufzugstechiker"
"Friedhofstrasse 49 8048",0.0,15,0,"Garagentortechniker"
"Friedhofstrasse 49 8048",0.0,15,0,"Schreiner"
"Friedhofstrasse 49 8048",0.0,15,0,"Heizungstechniker"
"Friedhofstrasse 49 8048",0.0,15,0,"Kanalreiniger"
"Friedhofstrasse 51 8048",100.0,15,15,Full Coverage
"Friedhofstrasse 53 8048",100.0,15,15,Full Coverage
"General-Wille-Str. 301 8706",100.0,15,15,Full Coverage
"Glärnischstrasse 39 8712",100.0,15,15,Full Coverage
"Heinrichstrasse 2 8304",100.0,15,15,Full Coverage
"Letzigraben 12 8003",100.0,15,15,Full Coverage
"Rebbergstrasse 66 8049",100.0,15,15,Full Coverage
"Regensbergstrasse 94 8050",100.0,15,15,Full Coverage
"Röslistrasse 2 8006",100.0,15,15,Full Coverage
"Sonnenbergstr. 98 8610",100.0,15,15,Full Coverage
"Werdstr. 9 8134",100.0,15,15,Full Coverage
"Wygarten 6 5621",100.0,15,15,Full Coverage
"Zürcherstr. 65 8104",100.0,15,15,Full Coverage
"Zürcherstr. 67 8104",100.0,15,15,Full Coverage
"Zürcherstr. 69 8104",100.0,15,15,Full Coverage
"Zürcherstr. 71 8104",100.0,15,15,Full Coverage
"Badenerstrasse 515 8048",100.0,15,15,Full Coverage
"Badenerstrasse 517 8048",100.0,15,15,Full Coverage
"Badenerstrasse 519 8048",100.0,15,15,Full Coverage
"Rautihalde 1 8048",100.0,15,15,Full Coverage
"Rautihalde 3 8048",100.0,15,15,Full Coverage
"Rautihalde 5 8048",100.0,15,15,Full Coverage
"Bristenstr. 17 8048",100.0,15,15,Full Coverage
