,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,Liegenschaftsbezeichnung,Strasse,Hausnummer,PLZ,Ort,Referenznummer / Bezeichnung,Amtliche Wohnungsnummer,Hauptmieter,Mieter 2,Mieter 3,Stockwerk,Zimmer,m2,Baujahr,Sanierungsjahr,"E-mail der Verwaltung zur 
Eskalation/Information 
durch ailean
Wo sendet ailean Mängelmeldungen bei 
der Verwaltung hin? Z.B. Sammelinbox nur für 
ailean, Abteilungsemail oder 
Bewirtschafter*In Pro Liegenschaft nur einmal ausfüllen","Verwaltungskontakt während 
Öffnungszeiten
für Mieter
(Falls Kontakt überhaupt rausgegeben wird, 
wird dieser Kontakt rausgegeben. Pro Liegenschaft nur einmal Ausfüllen)","Eskalationskontakt intern
(Wohin soll ailean eskalieren, wenn der Mieter meldet, dass 
der Mangel nicht behoben ist trotz Eskalation 
an eigene Verwaltung?) In der Regel Teamleitung / Vorgesetzte",Eigentümer,"Fiskaljahr
z.B. 01.-12.","Budget für Mängelbehebung
Ist dieser Betrag erreicht, wird ailean nur noch Offertenanfragen stellen 
oder direkt an Verwaltung eskalieren (je nach Einstellungen)
Formel: Direktaufträge an Handwerker x Kompetenzsumme","Individuelle Schwelle 
kleiner Unterhalt in CHF
(z.B. CHF 150.-)
Pro Liegenschaft nur einmal Ausfüllen"
,Badener 727-733 Im Struppen,Badenerstr.,727,8048,Zurich,46172 / 1-Zi-Whg Nr. 15 2.OG,,,,,2.OG,,,1972,2019,k.christen@peterhalter.com,e.oezyuerek@peterhalter.com,a.haefeli@peterhalter.com,"Dr. A. Guyer-Halter, Bremgarten",01.-12.,"CHF25,000.00",CHF150.00
,Badener 727-733 Im Struppen,Badenerstr.,727,8048,Zurich,46173 / 1-Zi-Whg Nr. 16 2.OG,,,,,2.OG,,,1972,2019,k.christen@peterhalter.com,e.oezyuerek@peterhalter.com,a.haefeli@peterhalter.com,"Dr. A. Guyer-Halter, Bremgarten",01.-12.,"CHF25,000.00",CHF150.00
,Badener 727-733 Im Struppen,Badenerstr.,727,8048,Zurich,46174 / 1-Zi-Whg Nr. 17 2.OG,,,,,2.OG,,,1972,2019,k.christen@peterhalter.com,e.oezyuerek@peterhalter.com,a.haefeli@peterhalter.com,"Dr. A. Guyer-Halter, Bremgarten",01.-12.,"CHF25,000.00",CHF150.00
,Badener 727-733 Im Struppen,Badenerstr.,727,8048,Zurich,46175 / 1-Zi-Whg Nr. 18 2.OG,,,,,2.OG,,,1972,2019,k.christen@peterhalter.com,e.oezyuerek@peterhalter.com,a.haefeli@peterhalter.com,"Dr. A. Guyer-Halter, Bremgarten",01.-12.,"CHF25,000.00",CHF150.00
,Badener 727-733 Im Struppen,Badenerstr.,727,8048,Zurich,46176 / 2.5-Zi-Whg Nr. 201 2.OG,,,,,2.OG,,,1972,2019,k.christen@peterhalter.com,e.oezyuerek@peterhalter.com,a.haefeli@peterhalter.com,"Dr. A. Guyer-Halter, Bremgarten",01.-12.,"CHF25,000.00",CHF150.00
,Badener 727-733 Im Struppen,Badenerstr.,727,8048,Zurich,46177 / 2.5-Zi-Whg Nr. 202 2.OG,,,,,2.OG,,,1972,2019,k.christen@peterhalter.com,e.oezyuerek@peterhalter.com,a.haefeli@peterhalter.com,"Dr. A. Guyer-Halter, Bremgarten",01.-12.,"CHF25,000.00",CHF150.00
,Badener 727-733 Im Struppen,Badenerstr.,727,8048,Zurich,46178 / 2.5-Zi-Whg Nr. 203 2.OG,,,,,2.OG,,,1972,2019,k.christen@peterhalter.com,e.oezyuerek@peterhalter.com,a.haefeli@peterhalter.com,"Dr. A. Guyer-Halter, Bremgarten",01.-12.,"CHF25,000.00",CHF150.00
,Badener 727-733 Im Struppen,Badenerstr.,727,8048,Zurich,46179 / 2.5-Zi-Whg Nr. 204 2.OG,,,,,2.OG,,,1972,2019,k.christen@peterhalter.com,e.oezyuerek@peterhalter.com,a.haefeli@peterhalter.com,"Dr. A. Guyer-Halter, Bremgarten",01.-12.,"CHF25,000.00",CHF150.00
,Badener 727-733 Im Struppen,Badenerstr.,727,8048,Zurich,46180 / 1-Zi-Whg Nr. 23 3.OG,,,,,3.OG,,,1972,2019,k.christen@peterhalter.com,e.oezyuerek@peterhalter.com,a.haefeli@peterhalter.com,"Dr. A. Guyer-Halter, Bremgarten",01.-12.,"CHF25,000.00",CHF150.00
,Badener 727-733 Im Struppen,Badenerstr.,727,8048,Zurich,46181 / 1-Zi-Whg Nr. 24 3.OG,,,,,3.OG,,,1972,2019,k.christen@peterhalter.com,e.oezyuerek@peterhalter.com,a.haefeli@peterhalter.com,"Dr. A. Guyer-Halter, Bremgarten",01.-12.,"CHF25,000.00",CHF150.00
,Badener 727-733 Im Struppen,Badenerstr.,727,8048,Zurich,46182 / 1-Zi-Whg Nr. 25 3.OG,,,,,3.OG,,,1972,2019,k.christen@peterhalter.com,e.oezyuerek@peterhalter.com,a.haefeli@peterhalter.com,"Dr. A. Guyer-Halter, Bremgarten",01.-12.,"CHF25,000.00",CHF150.00
,Badener 727-733 Im Struppen,Badenerstr.,727,8048,Zurich,46183 / 1-Zi-Whg Nr. 26 3.OG,,,,,3.OG,,,1972,2019,k.christen@peterhalter.com,e.oezyuerek@peterhalter.com,a.haefeli@peterhalter.com,"Dr. A. Guyer-Halter, Bremgarten",01.-12.,"CHF25,000.00",CHF150.00
,Badener 727-733 Im Struppen,Badenerstr.,727,8048,Zurich,46184 / 1-Zi-Whg Nr. 27 3.OG,,,,,3.OG,,,1972,2019,k.christen@peterhalter.com,e.oezyuerek@peterhalter.com,a.haefeli@peterhalter.com,"Dr. A. Guyer-Halter, Bremgarten",01.-12.,"CHF25,000.00",CHF150.00
,Badener 727-733 Im Struppen,Badenerstr.,727,8048,Zurich,46185 / 2.5-Zi-Whg Nr. 301 3.OG,,,,,3.OG,,,1972,2019,k.christen@peterhalter.com,e.oezyuerek@peterhalter.com,a.haefeli@peterhalter.com,"Dr. A. Guyer-Halter, Bremgarten",01.-12.,"CHF25,000.00",CHF150.00
,Badener 727-733 Im Struppen,Badenerstr.,727,8048,Zurich,46186 / 2.5-Zi-Whg Nr. 302 3.OG,,,,,3.OG,,,1972,2019,k.christen@peterhalter.com,e.oezyuerek@peterhalter.com,a.haefeli@peterhalter.com,"Dr. A. Guyer-Halter, Bremgarten",01.-12.,"CHF25,000.00",CHF150.00
,Badener 727-733 Im Struppen,Badenerstr.,727,8048,Zurich,46187 / 2.5-Zi-Whg Nr. 303 3.OG,,,,,3.OG,,,1972,2019,k.christen@peterhalter.com,e.oezyuerek@peterhalter.com,a.haefeli@peterhalter.com,"Dr. A. Guyer-Halter, Bremgarten",01.-12.,"CHF25,000.00",CHF150.00
,Badener 727-733 Im Struppen,Badenerstr.,727,8048,Zurich,46188 / 2.5-Zi-Whg Nr. 304 3.OG,,,,,3.OG,,,1972,2019,k.christen@peterhalter.com,e.oezyuerek@peterhalter.com,a.haefeli@peterhalter.com,"Dr. A. Guyer-Halter, Bremgarten",01.-12.,"CHF25,000.00",CHF150.00
,Badener 727-733 Im Struppen,Badenerstr.,727,8048,Zurich,46189 / 1-Zi-Whg Nr. 32 4.OG,,,,,4.OG,,,1972,2019,k.christen@peterhalter.com,e.oezyuerek@peterhalter.com,a.haefeli@peterhalter.com,"Dr. A. Guyer-Halter, Bremgarten",01.-12.,"CHF25,000.00",CHF150.00
,Badener 727-733 Im Struppen,Badenerstr.,727,8048,Zurich,46490 / 1-Zi-Whg Nr. 33 4.OG,,,,,4.OG,,,1972,2019,k.christen@peterhalter.com,e.oezyuerek@peterhalter.com,a.haefeli@peterhalter.com,"Dr. A. Guyer-Halter, Bremgarten",01.-12.,"CHF25,000.00",CHF150.00
,Badener 727-733 Im Struppen,Badenerstr.,727,8048,Zurich,46191 / 1-Zi-Whg Nr. 34 4.OG,,,,,4.OG,,,1972,2019,k.christen@peterhalter.com,e.oezyuerek@peterhalter.com,a.haefeli@peterhalter.com,"Dr. A. Guyer-Halter, Bremgarten",01.-12.,"CHF25,000.00",CHF150.00
,Badener 727-733 Im Struppen,Badenerstr.,727,8048,Zurich,46192 / 1-Zi-Whg Nr. 35 4.OG,,,,,4.OG,,,1972,2019,k.christen@peterhalter.com,e.oezyuerek@peterhalter.com,a.haefeli@peterhalter.com,"Dr. A. Guyer-Halter, Bremgarten",01.-12.,"CHF25,000.00",CHF150.00
,Badener 727-733 Im Struppen,Badenerstr.,727,8048,Zurich,46193 / 1-Zi-Whg Nr. 36 4.OG,,,,,4.OG,,,1972,2019,k.christen@peterhalter.com,e.oezyuerek@peterhalter.com,a.haefeli@peterhalter.com,"Dr. A. Guyer-Halter, Bremgarten",01.-12.,"CHF25,000.00",CHF150.00
,Badener 727-733 Im Struppen,Badenerstr.,727,8048,Zurich,46194 / 2.5-Zi-Whg Nr. 401 4.OG,,,,,4.OG,,,1972,2019,k.christen@peterhalter.com,e.oezyuerek@peterhalter.com,a.haefeli@peterhalter.com,"Dr. A. Guyer-Halter, Bremgarten",01.-12.,"CHF25,000.00",CHF150.00
,Badener 727-733 Im Struppen,Badenerstr.,727,8048,Zurich,46195 / 2.5-Zi-Whg Nr. 402 4.OG,,,,,4.OG,,,1972,2019,k.christen@peterhalter.com,e.oezyuerek@peterhalter.com,a.haefeli@peterhalter.com,"Dr. A. Guyer-Halter, Bremgarten",01.-12.,"CHF25,000.00",CHF150.00
,Badener 727-733 Im Struppen,Badenerstr.,727,8048,Zurich,46196 / 2.5-Zi-Whg Nr. 403 4.OG,,,,,4.OG,,,1972,2019,k.christen@peterhalter.com,e.oezyuerek@peterhalter.com,a.haefeli@peterhalter.com,"Dr. A. Guyer-Halter, Bremgarten",01.-12.,"CHF25,000.00",CHF150.00
,Badener 727-733 Im Struppen,Badenerstr.,727,8048,Zurich,46197 / 2.5-Zi-Whg Nr. 404 4.OG,,,,,4.OG,,,1972,2019,k.christen@peterhalter.com,e.oezyuerek@peterhalter.com,a.haefeli@peterhalter.com,"Dr. A. Guyer-Halter, Bremgarten",01.-12.,"CHF25,000.00",CHF150.00
,Badener 727-733 Im Struppen,Badenerstr.,727,8048,Zurich,46198 / 4.5-Zi-Whg Nr. 727B Attika,,,,,Attika,,,1972,2019,k.christen@peterhalter.com,e.oezyuerek@peterhalter.com,a.haefeli@peterhalter.com,"Dr. A. Guyer-Halter, Bremgarten",01.-12.,"CHF25,000.00",CHF150.00
,Badener 727-733 Im Struppen,Badenerstr.,731,8048,Zurich,46297 / 1-Zi-Whg Nr. 1 1.OG,,,,,1.OG,,,1972,2019,k.christen@peterhalter.com,e.oezyuerek@peterhalter.com,a.haefeli@peterhalter.com,"Dr. A. Guyer-Halter, Bremgarten",01.-12.,"CHF25,000.00",CHF150.00
,Badener 727-733 Im Struppen,Badenerstr.,731,8048,Zurich,46298 / 1-Zi-Whg Nr. 2 1.OG,,,,,1.OG,,,1972,2019,k.christen@peterhalter.com,e.oezyuerek@peterhalter.com,a.haefeli@peterhalter.com,"Dr. A. Guyer-Halter, Bremgarten",01.-12.,"CHF25,000.00",CHF150.00
,Badener 727-733 Im Struppen,Badenerstr.,731,8048,Zurich,46299 / 1-Zi-Whg Nr. 3 1.OG,,,,,1.OG,,,1972,2019,k.christen@peterhalter.com,e.oezyuerek@peterhalter.com,a.haefeli@peterhalter.com,"Dr. A. Guyer-Halter, Bremgarten",01.-12.,"CHF25,000.00",CHF150.00
,Badener 727-733 Im Struppen,Badenerstr.,731,8048,Zurich,46300 / 1-Zi-Whg Nr. 4 1.OG,,,,,1.OG,,,1972,2019,k.christen@peterhalter.com,e.oezyuerek@peterhalter.com,a.haefeli@peterhalter.com,"Dr. A. Guyer-Halter, Bremgarten",01.-12.,"CHF25,000.00",CHF150.00
,Badener 727-733 Im Struppen,Badenerstr.,731,8048,Zurich,46301 / 3.5-Zi-Whg Nr. 105 1.OG,,,,,1.OG,,,1972,2019,k.christen@peterhalter.com,e.oezyuerek@peterhalter.com,a.haefeli@peterhalter.com,"Dr. A. Guyer-Halter, Bremgarten",01.-12.,"CHF25,000.00",CHF150.00
,Badener 727-733 Im Struppen,Badenerstr.,731,8048,Zurich,46302 / 2.5-Zi-Whg Nr. 106 1.OG,,,,,1.OG,,,1972,2019,k.christen@peterhalter.com,e.oezyuerek@peterhalter.com,a.haefeli@peterhalter.com,"Dr. A. Guyer-Halter, Bremgarten",01.-12.,"CHF25,000.00",CHF150.00
,Badener 727-733 Im Struppen,Badenerstr.,731,8048,Zurich,46303 / 1.5-Zi-Whg Nr. 107 1.OG,,,,,1.OG,,,1972,2019,k.christen@peterhalter.com,e.oezyuerek@peterhalter.com,a.haefeli@peterhalter.com,"Dr. A. Guyer-Halter, Bremgarten",01.-12.,"CHF25,000.00",CHF150.00
,Badener 727-733 Im Struppen,Badenerstr.,731,8048,Zurich,46304 / 2.5-Zi-Whg Nr. 108 1.OG,,,,,1.OG,,,1972,2019,k.christen@peterhalter.com,e.oezyuerek@peterhalter.com,a.haefeli@peterhalter.com,"Dr. A. Guyer-Halter, Bremgarten",01.-12.,"CHF25,000.00",CHF150.00
,Badener 727-733 Im Struppen,Badenerstr.,731,8048,Zurich,46305 / 2.5-Zi-Whg Nr. 113 1.OG,,,,,1.OG,,,1972,2019,k.christen@peterhalter.com,e.oezyuerek@peterhalter.com,a.haefeli@peterhalter.com,"Dr. A. Guyer-Halter, Bremgarten",01.-12.,"CHF25,000.00",CHF150.00
,Badener 727-733 Im Struppen,Badenerstr.,731,8048,Zurich,46306 / 1.5-Zi-Whg Nr. 114 1.OG,,,,,1.OG,,,1972,2019,k.christen@peterhalter.com,e.oezyuerek@peterhalter.com,a.haefeli@peterhalter.com,"Dr. A. Guyer-Halter, Bremgarten",01.-12.,"CHF25,000.00",CHF150.00
,Badener 727-733 Im Struppen,Badenerstr.,731,8048,Zurich,46307 / 1-Zi-Whg Nr. 10 2.OG,,,,,2.OG,,,1972,2019,k.christen@peterhalter.com,e.oezyuerek@peterhalter.com,a.haefeli@peterhalter.com,"Dr. A. Guyer-Halter, Bremgarten",01.-12.,"CHF25,000.00",CHF150.00
,Badener 727-733 Im Struppen,Badenerstr.,731,8048,Zurich,46308 / 1-Zi-Whg Nr. 11 2.OG,,,,,2.OG,,,1972,2019,k.christen@peterhalter.com,e.oezyuerek@peterhalter.com,a.haefeli@peterhalter.com,"Dr. A. Guyer-Halter, Bremgarten",01.-12.,"CHF25,000.00",CHF150.00
,Badener 727-733 Im Struppen,Badenerstr.,731,8048,Zurich,46309 / 1-Zi-Whg Nr. 12 2.OG,,,,,2.OG,,,1972,2019,k.christen@peterhalter.com,e.oezyuerek@peterhalter.com,a.haefeli@peterhalter.com,"Dr. A. Guyer-Halter, Bremgarten",01.-12.,"CHF25,000.00",CHF150.00
,Badener 727-733 Im Struppen,Badenerstr.,731,8048,Zurich,46310 / 1-Zi-Whg Nr. 13 2.OG,,,,,2.OG,,,1972,2019,k.christen@peterhalter.com,e.oezyuerek@peterhalter.com,a.haefeli@peterhalter.com,"Dr. A. Guyer-Halter, Bremgarten",01.-12.,"CHF25,000.00",CHF150.00
,Badener 727-733 Im Struppen,Badenerstr.,731,8048,Zurich,46311 / 3.5-Zi-Whg Nr. 205 2.OG,,,,,2.OG,,,1972,2019,k.christen@peterhalter.com,e.oezyuerek@peterhalter.com,a.haefeli@peterhalter.com,"Dr. A. Guyer-Halter, Bremgarten",01.-12.,"CHF25,000.00",CHF150.00
,Badener 727-733 Im Struppen,Badenerstr.,731,8048,Zurich,46312 / 2.5-Zi-Whg Nr. 206 2.OG,,,,,2.OG,,,1972,2019,k.christen@peterhalter.com,e.oezyuerek@peterhalter.com,a.haefeli@peterhalter.com,"Dr. A. Guyer-Halter, Bremgarten",01.-12.,"CHF25,000.00",CHF150.00
,Badener 727-733 Im Struppen,Badenerstr.,731,8048,Zurich,46313 / 1.5-Zi-Whg Nr. 207 2.OG,,,,,2.OG,,,1972,2019,k.christen@peterhalter.com,e.oezyuerek@peterhalter.com,a.haefeli@peterhalter.com,"Dr. A. Guyer-Halter, Bremgarten",01.-12.,"CHF25,000.00",CHF150.00
,Badener 727-733 Im Struppen,Badenerstr.,731,8048,Zurich,46314 / 2.5-Zi-Whg Nr. 208 2.OG,,,,,2.OG,,,1972,2019,k.christen@peterhalter.com,e.oezyuerek@peterhalter.com,a.haefeli@peterhalter.com,"Dr. A. Guyer-Halter, Bremgarten",01.-12.,"CHF25,000.00",CHF150.00
,Badener 727-733 Im Struppen,Badenerstr.,731,8048,Zurich,46315 / 2.5-Zi-Whg Nr. 213 2.OG,,,,,2.OG,,,1972,2019,k.christen@peterhalter.com,e.oezyuerek@peterhalter.com,a.haefeli@peterhalter.com,"Dr. A. Guyer-Halter, Bremgarten",01.-12.,"CHF25,000.00",CHF150.00
,Badener 727-733 Im Struppen,Badenerstr.,731,8048,Zurich,46316 / 1.5-Zi-Whg Nr. 214 2.OG,,,,,2.OG,,,1972,2019,k.christen@peterhalter.com,e.oezyuerek@peterhalter.com,a.haefeli@peterhalter.com,"Dr. A. Guyer-Halter, Bremgarten",01.-12.,"CHF25,000.00",CHF150.00
,Badener 727-733 Im Struppen,Badenerstr.,731,8048,Zurich,46317 / 1-Zi-Whg Nr. 19 3.OG,,,,,3.OG,,,1972,2019,k.christen@peterhalter.com,e.oezyuerek@peterhalter.com,a.haefeli@peterhalter.com,"Dr. A. Guyer-Halter, Bremgarten",01.-12.,"CHF25,000.00",CHF150.00
,Badener 727-733 Im Struppen,Badenerstr.,731,8048,Zurich,46318 / 1-Zi-Whg Nr. 20 3.OG,,,,,3.OG,,,1972,2019,k.christen@peterhalter.com,e.oezyuerek@peterhalter.com,a.haefeli@peterhalter.com,"Dr. A. Guyer-Halter, Bremgarten",01.-12.,"CHF25,000.00",CHF150.00
,Badener 727-733 Im Struppen,Badenerstr.,731,8048,Zurich,46319 / 1-Zi-Whg Nr. 21 3.OG,,,,,3.OG,,,1972,2019,k.christen@peterhalter.com,e.oezyuerek@peterhalter.com,a.haefeli@peterhalter.com,"Dr. A. Guyer-Halter, Bremgarten",01.-12.,"CHF25,000.00",CHF150.00
,Badener 727-733 Im Struppen,Badenerstr.,731,8048,Zurich,46320 / 1-Zi-Whg Nr. 22 3.OG,,,,,3.OG,,,1972,2019,k.christen@peterhalter.com,e.oezyuerek@peterhalter.com,a.haefeli@peterhalter.com,"Dr. A. Guyer-Halter, Bremgarten",01.-12.,"CHF25,000.00",CHF150.00
,Badener 727-733 Im Struppen,Badenerstr.,731,8048,Zurich,46321 / 3.5-Zi-Whg Nr. 305 3.OG,,,,,3.OG,,,1972,2019,k.christen@peterhalter.com,e.oezyuerek@peterhalter.com,a.haefeli@peterhalter.com,"Dr. A. Guyer-Halter, Bremgarten",01.-12.,"CHF25,000.00",CHF150.00
,Badener 727-733 Im Struppen,Badenerstr.,731,8048,Zurich,46322 / 2.5-Zi-Whg Nr. 306 3.OG,,,,,3.OG,,,1972,2019,k.christen@peterhalter.com,e.oezyuerek@peterhalter.com,a.haefeli@peterhalter.com,"Dr. A. Guyer-Halter, Bremgarten",01.-12.,"CHF25,000.00",CHF150.00
,Badener 727-733 Im Struppen,Badenerstr.,731,8048,Zurich,46323 / 1.5-Zi-Whg Nr. 307 3.OG,,,,,3.OG,,,1972,2019,k.christen@peterhalter.com,e.oezyuerek@peterhalter.com,a.haefeli@peterhalter.com,"Dr. A. Guyer-Halter, Bremgarten",01.-12.,"CHF25,000.00",CHF150.00
,Badener 727-733 Im Struppen,Badenerstr.,731,8048,Zurich,46324 / 2.5-Zi-Whg Nr. 308 3.OG,,,,,3.OG,,,1972,2019,k.christen@peterhalter.com,e.oezyuerek@peterhalter.com,a.haefeli@peterhalter.com,"Dr. A. Guyer-Halter, Bremgarten",01.-12.,"CHF25,000.00",CHF150.00
,Badener 727-733 Im Struppen,Badenerstr.,731,8048,Zurich,46325 / 2.5-Zi-Whg Nr. 313 3.OG,,,,,3.OG,,,1972,2019,k.christen@peterhalter.com,e.oezyuerek@peterhalter.com,a.haefeli@peterhalter.com,"Dr. A. Guyer-Halter, Bremgarten",01.-12.,"CHF25,000.00",CHF150.00
,Badener 727-733 Im Struppen,Badenerstr.,731,8048,Zurich,46326 / 1.5-Zi-Whg Nr. 314 3.OG,,,,,3.OG,,,1972,2019,k.christen@peterhalter.com,e.oezyuerek@peterhalter.com,a.haefeli@peterhalter.com,"Dr. A. Guyer-Halter, Bremgarten",01.-12.,"CHF25,000.00",CHF150.00
,Badener 727-733 Im Struppen,Badenerstr.,731,8048,Zurich,46327 / 1-Zi-Whg Nr. 28 4.OG,,,,,4.OG,,,1972,2019,k.christen@peterhalter.com,e.oezyuerek@peterhalter.com,a.haefeli@peterhalter.com,"Dr. A. Guyer-Halter, Bremgarten",01.-12.,"CHF25,000.00",CHF150.00
,Badener 727-733 Im Struppen,Badenerstr.,731,8048,Zurich,46328 / 1-Zi-Whg Nr. 29 4.OG,,,,,4.OG,,,1972,2019,k.christen@peterhalter.com,e.oezyuerek@peterhalter.com,a.haefeli@peterhalter.com,"Dr. A. Guyer-Halter, Bremgarten",01.-12.,"CHF25,000.00",CHF150.00
,Badener 727-733 Im Struppen,Badenerstr.,731,8048,Zurich,46329 / 1-Zi-Whg Nr. 30 4.OG,,,,,4.OG,,,1972,2019,k.christen@peterhalter.com,e.oezyuerek@peterhalter.com,a.haefeli@peterhalter.com,"Dr. A. Guyer-Halter, Bremgarten",01.-12.,"CHF25,000.00",CHF150.00
,Badener 727-733 Im Struppen,Badenerstr.,731,8048,Zurich,46330 / 1-Zi-Whg Nr. 31 4.OG,,,,,4.OG,,,1972,2019,k.christen@peterhalter.com,e.oezyuerek@peterhalter.com,a.haefeli@peterhalter.com,"Dr. A. Guyer-Halter, Bremgarten",01.-12.,"CHF25,000.00",CHF150.00
,Badener 727-733 Im Struppen,Badenerstr.,731,8048,Zurich,46331 / 2.5-Zi-Whg Nr. 406 4.OG,,,,,4.OG,,,1972,2019,k.christen@peterhalter.com,e.oezyuerek@peterhalter.com,a.haefeli@peterhalter.com,"Dr. A. Guyer-Halter, Bremgarten",01.-12.,"CHF25,000.00",CHF150.00
,Badener 727-733 Im Struppen,Badenerstr.,731,8048,Zurich,46332 / 3.5-Zi-Whg Nr. 405 4.OG,,,,,4.OG,,,1972,2019,k.christen@peterhalter.com,e.oezyuerek@peterhalter.com,a.haefeli@peterhalter.com,"Dr. A. Guyer-Halter, Bremgarten",01.-12.,"CHF25,000.00",CHF150.00
,Badener 727-733 Im Struppen,Badenerstr.,731,8048,Zurich,46333 / 1.5-Zi-Whg Nr. 407 4.OG,,,,,4.OG,,,1972,2019,k.christen@peterhalter.com,e.oezyuerek@peterhalter.com,a.haefeli@peterhalter.com,"Dr. A. Guyer-Halter, Bremgarten",01.-12.,"CHF25,000.00",CHF150.00
